911 БАДЯГА ГЕЛЬ ДЛЯ ТЕЛА КОСМЕТИЧЕСКИЙ ОТ СИНЯКОВ И УШИБОВ 100МЛ;ТВИНС ТЭК АО;РОССИЯ;6429;6.20;1.000;6.20;01.06.2026;Парфюмерно-косметическая продукция и  туалетные принадлежности;11.09.2024;000007857;3.98;3.98;Ясса ООО ПКФ;112857
АДАПТОЛ КАПС., 300МГ, №20;ОЛАЙНФАРМ;ЛАТВИЯ;150523;4.03;0.500;13.52;31.05.2026;Лексредства;28.02.2024;000003034;19.50;19.70;ИНТЕРФАРМАКС;109737
АДАПТОЛ ТАБЛ., 500МГ, №20;ОЛАЙНФАРМ;ЛАТВИЯ;851123;7.68;0.500;19.84;01.11.2027;Лексредства;20.03.2024;000003597;30.31;31.83;Оздоровление ЧУП;110122
АЕВИТ КАПС., 200МГ, №30;МИНСКИНТЕРКАПС;БЕЛАРУСЬ;2040524;4.56;3.000;13.68;31.05.2026;Лексредства;24.09.2024;000008244;3.32;3.32;МИНСКИНТЕРКАПС;112994
АЕВИТ КАПС., 200МГ, №30;МИНСКИНТЕРКАПС;БЕЛАРУСЬ;2040524;4.56;2.000;9.12;31.05.2026;Лексредства;24.09.2024;000008216;3.32;3.32;МИНСКИНТЕРКАПС;113059
АЗИТРОМИЦИН КАПС., 250МГ, №6;БЕЛМЕДПРЕПАРАТЫ РУП;БЕЛАРУСЬ;011023;5.50;1.000;5.50;31.10.2026;Лексредства;21.02.2024;000002835;4.00;4.00;Белмедпрепараты;109578
АЗИТРОМИЦИН ТАБЛ., 500МГ, №6;БОРИСОВСКИЙ ЗМП;БЕЛАРУСЬ;3060324;15.74;1.500;23.61;31.03.2026;Лексредства;04.09.2024;0340944;11.45;11.45;Борисовский ЗМП;112618
АЗИТРОМИЦИН ТАБЛ., 500МГ, №6;БОРИСОВСКИЙ ЗМП;БЕЛАРУСЬ;3060324;15.74;2.000;31.48;31.03.2026;Лексредства;11.09.2024;000007869;11.45;11.45;Борисовский ЗМП;112774
АКАРД ТАБЛ.П/О, 75МГ, №60;POLPHARMA SA;ПОЛЬША;011023;10.70;1.000;10.70;01.10.2025;Лексредства;07.08.2024;0340155;7.73;7.80;Брититрейд;112093
АКВА МАРИС CLASSIC ФЛ., СПРЕЙ НАЗ., 30МЛ;JADRAN;ХОРВАТИЯ;11054;17.49;2.000;34.98;30.04.2027;Товары  мед назначения;11.09.2024;0341111;11.78;12.37;Витвар ООО;112843
